queue,
0.000154,
0.000154,
0.000188,
0.000123,
0.000189,
0.000134,
0.000226,
0.000070,
0.000098,
0.000067,
0.000069,
0.000070,
0.000074,
0.000071,
0.000078,
0.000070,
0.000070,
0.000094,
0.000087,
0.000084,
0.000076,
0.003731,
0.001900,
0.003061,
0.003944,
0.003624,
0.002593,
0.002439,
0.004860,
0.001980,
